id,username,created_at,lng,lat,text
1516966338467532801,MobileJackGames,Thu Apr 21 02:25:33 +0000 2022,-122.334461,47.307568,@TweetsBySalt Bro. BRUH. We should hang.
1516966394276945920,Johtus1288,Thu Apr 21 02:25:46 +0000 2022,-120.58340150000001,44.1454365,This made me evil-ass-joker-laugh. https://t.co/O435c8wt47
1516966400782323712,tim_detjen,Thu Apr 21 02:25:48 +0000 2022,-122.805579,45.484892,@jochely3 @fox12oregon The masks have been proven to do absolutely nothing to prevent the spread a flu variant call… https://t.co/9E9lemYlQr
1516966403710017542,raist761,Thu Apr 21 02:25:49 +0000 2022,-111.2978705,47.493836,@Shane72576280 @PippaOona Understanding his place in the whole divine process.
1516966423507046401,JustDanceAlex,Thu Apr 21 02:25:53 +0000 2022,-122.3306025,47.614817,"restarted @maddow, so Dad could watch and hearing @MorganOrtagus on #TakeTheFifth is just as painful to r second ti… https://t.co/LHQG4jMFfV"
1516966437994176512,Seanakin,Thu Apr 21 02:25:57 +0000 2022,-106.96603300000001,44.7886575,"@JonnyMicro @DomesticCEOCat The right lung alone has hella bunches of bronchi, though"
1516966453605396480,CharlieYankee14,Thu Apr 21 02:26:01 +0000 2022,-116.97167999999999,44.0275005,@GeorgeTakei Happy birthday Mr. Taki 🎂🎂🎂
1516966458240081920,soleilbrille18,Thu Apr 21 02:26:02 +0000 2022,-122.3306025,47.614817,@AgapeLove28 @BonnieHarold5 Done!
1516966478901260289,sonyawh55919237,Thu Apr 21 02:26:07 +0000 2022,-123.42868250000001,48.1128715,@Acyn Right...Trump did this so I can see how you would mix them up. What a jerk
1516966483363987456,carsonpemcorgi,Thu Apr 21 02:26:08 +0000 2022,-120.58340150000001,44.1454365,"@royalcorgslife Change is hard. Hopefully, the more things become a routine, he’ll make more progress. ❤️ Training… https://t.co/uEbz7sEWBm"
1516966498350211078,rakune,Thu Apr 21 02:26:11 +0000 2022,-122.194398,47.481598,@Rockstarpup That RoundUp was sodalicious
