id,username,created_at,lng,lat,text
1.51764E+18,hftjobs,Fri Apr 22 22:58:38 +0000 2022,-120.3336392,47.4508822,"Harbor Freight Tools is always looking for hardworking, roll-up-your-sleeves types who value our commitment to peop… https://t.co/x4RpaLNaDx"
1.51764E+18,LoganMohtashami,Fri Apr 22 22:58:39 +0000 2022,-120.5834015,44.1454365,"Is the economy running hot? It's expansionary for sure still, but not like the data we saw last year."
1.51764E+18,1nvisigirl,Fri Apr 22 22:58:39 +0000 2022,-120.5834015,44.1454365,This yarn has been discontinued and I have a project I can't finish without it. Halp! Anyone have some in their sta… https://t.co/c7ToXPvvig
1.51764E+18,Lil_K313,Fri Apr 22 22:58:41 +0000 2022,-123.2793435,44.5692455,"Hey Everett,That's all right. That's OK. Because your going to pump our gas some day.#TCDustDevils… https://t.co/vOuiLUBWak"
1.51764E+18,maxwalkerkicks,Fri Apr 22 22:58:42 +0000 2022,-122.455344,47.2429605,@Chris_Sailer @JakeCookus @BeaverFootball @CoachSaparto @ThePuntFactory @RylandSpencer @bprepfootball Thank you Coach!
1.51764E+18,jaeyvette,Fri Apr 22 22:58:46 +0000 2022,-122.7654085,47.039416,I love my twin sm
1.51764E+18,Oregontider,Fri Apr 22 22:58:51 +0000 2022,-122.791854,45.424871,@Jimryan015 @seattletimes You'll be busy.. alot of crime there.
1.51764E+18,gonzoxb,Fri Apr 22 22:58:52 +0000 2022,-120.882482,47.273022,"happy earth day, ft. my favorite drone shots💚 https://t.co/TxXv99Z4py"
1.51764E+18,alyknits,Fri Apr 22 22:58:59 +0000 2022,-120.882482,47.273022,@kariebookish @Jessie_AtHome Wise. Always satisfy your own curiosity about issues like this.
1.51764E+18,everyEarthquake,Fri Apr 22 22:59:00 +0000 2022,-113.8561667,47.5045,"USGS reports a M-0.55 earthquake, 11 km WSW of Condon, Montana on 4/22/22 @ 12:50:55 UTC https://t.co/MATa0CM9Ly #earthquake"
1.51764E+18,pdxpolicelog,Fri Apr 22 22:59:01 +0000 2022,-122.660356,45.530196,"UNWANTED PERSON at 500 NE HOLLADAY ST, PORT [Portland Police #PP22000106697] 15:56 #pdx911"
1.51764E+18,JSHTRealEstate,Fri Apr 22 22:59:08 +0000 2022,-122.334461,47.307568,Moose has been waiting since last summer for the #Cornhole boards. #Moose12 #MooseChronicles #EarthDay2022… https://t.co/A9R4KaGRnk
1.51764E+18,jaeyvette,Fri Apr 22 22:59:10 +0000 2022,-122.7654085,47.039416,I can’t wait to buy her a Chanel bag
1.51764E+18,salsaverde81,Fri Apr 22 22:59:11 +0000 2022,-122.3306025,47.614817,@DaMayor76107 UGK4LIFE! P.A.T to be exact
